Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
2.0,11,6.0,16,0,667,1649,3,40.74074074074074,59.25925925925925,0.0
2.0,14,7.0,21,0,584,1865,3,40.0,60.0,0.0
0.0,18,8.0,19,0,327,1278,0,48.64864864864865,51.35135135135135,0.0
0.0,23,9.0,16,0,326,1755,0,58.97435897435898,41.02564102564102,0.0
0.0,30,6.0,9,0,443,858,0,76.92307692307693,23.076923076923077,0.0
2.0,43,11.0,13,0,653,1128,3,76.78571428571429,23.214285714285715,0.0
0.0,30,6.0,9,0,443,858,0,76.92307692307693,23.076923076923077,0.0
0.0,23,9.0,16,0,326,1755,0,58.97435897435898,41.02564102564102,0.0
0.0,18,8.0,19,0,327,1278,0,48.64864864864865,51.35135135135135,0.0
2.0,14,7.0,21,0,584,1865,3,40.0,60.0,0.0
2.0,11,6.0,16,0,667,1649,3,40.74074074074074,59.25925925925925,0.0
6.0,58,9.0,29,0,540,2481,3,66.66666666666666,33.33333333333333,0.0
2.0,7,5.0,18,0,361,1299,3,28.000000000000004,72.0,0.0
0.0,4,1.0,46,0,160,3553,0,8.0,92.0,0.0
0.0,1,0.0,16,0,60,790,0,5.88235294117647,94.11764705882352,0.0
0.0,1,1.0,34,0,188,1881,0,2.857142857142857,97.14285714285714,0.0
0.0,0,0.0,37,0,121,2612,0,0.0,100.0,0.0
0.0,1,0.0,45,0,76,1484,0,2.1739130434782608,97.82608695652173,0.0
12.0,1,0.0,41,0,181,2401,0,2.380952380952381,97.61904761904762,0.0
22.0,0,0.0,54,0,360,3345,0,0.0,100.0,0.0
0.0,4,1.0,46,0,160,3553,0,8.0,92.0,0.0
22.0,0,0.0,54,0,360,3345,0,0.0,100.0,0.0
12.0,1,0.0,41,0,181,2401,0,2.380952380952381,97.61904761904762,0.0
0.0,1,0.0,45,0,76,1484,0,2.1739130434782608,97.82608695652173,0.0
0.0,0,0.0,37,0,121,2612,0,0.0,100.0,0.0
0.0,1,1.0,34,0,188,1881,0,2.857142857142857,97.14285714285714,0.0
0.0,0,0.0,0,0,4,85,0,0.0,0.0,0.0
123.0,0,0.0,0,0,311,1027,0,0.0,0.0,0.0
260.0,0,0.0,0,0,171,690,0,0.0,0.0,0.0
12.0,2,0.0,2,0,476,1821,0,50.0,50.0,0.0
6.0,5,0.0,0,0,667,792,0,100.0,0.0,0.0
12.0,2,0.0,2,0,476,1821,0,50.0,50.0,0.0
260.0,0,0.0,0,0,171,690,0,0.0,0.0,0.0
123.0,0,0.0,0,0,311,1027,0,0.0,0.0,0.0
0.0,0,0.0,0,0,4,85,0,0.0,0.0,0.0
0.0,2,2.0,3,9,62,1136,0,14.285714285714285,21.428571428571427,64.28571428571429
6.0,2,2.0,3,9,52,1134,1,14.285714285714285,21.428571428571427,64.28571428571429
10.0,1,3.0,4,6,0,768,1,9.090909090909092,36.36363636363637,54.54545454545454
0.0,0,0.0,0,0,132,1823,0,0.0,0.0,0.0
